zip,donations,total,total_population,donations_per_1000
21863,778,15254.77,4657,167.0603392742109
21864,59,2239.66,548,107.66423357664233
21865,284,5664.640000000003,594,478.1144781144781
21867,3,104,23,130.43478260869566
21869,178,1823.8399999999983,1145,155.45851528384281
21871,135,2733.2100000000005,2198,61.41947224749773
21872,51,683.82,379,134.5646437994723
21873,1,30,NA,NA
21874,139,1668.7499999999998,1874,74.17289220917823
21875,853,14828.73,6676,127.77112043139604
21876,1,20,NA,NA
21877,4,41,NA,NA
21893,2,55,NA,NA
21894,4,96,NA,NA
21898,5,85,NA,NA
2190,8,536.65,NA,NA
21901,2086,51409.42999999997,16790,124.24061941631923
21902,44,410,215,204.65116279069767
21903,1147,15152.06,5947,192.87035480073985
21904,1461,27753.210000000003,7075,206.5017667844523
21905,4,139,NA,NA
21908,1,10,NA,NA
21911,1120,18688.95999999996,11130,100.62893081761007
21912,119,4150.6,1139,104.4776119402985
21913,93,2956.27,880,105.68181818181819
21914,114,2967.6400000000003,860,132.5581395348837
21915,792,16423.720000000012,2949,268.5656154628688
21916,23,382,44,522.7272727272727
21917,167,6169.52,2127,78.51433944522802
21918,604,11263.31,3692,163.59696641386782
21919,995,19727.17,2919,340.8701610140459
21920,16,331,491,32.586558044806516
21921,6975,152703.25000000015,46162,151.098305965946
21922,46,5898,NA,NA
21925,1,100,NA,NA
21928,2,50,NA,NA
21929,1,100,NA,NA
21930,55,2363,132,416.6666666666667
21937,1,50,NA,NA
21942,25,561.24,NA,NA
21943,5,160,NA,NA
21944,16,374,NA,NA
21945,1,35,NA,NA
21946,1,50,NA,NA
21947,3,105,NA,NA
21950,2,110,NA,NA
21953,2,12,NA,NA
21965,21,280,NA,NA
21975,5,163,NA,NA
21991,2,12,NA,NA
21993,19,221,NA,NA
22001,2,11,NA,NA
22014,2,55,NA,NA
22017,1,10,NA,NA
22027,2,250,NA,NA
22042,41,200,NA,NA
22043,10,140,NA,NA
22044,23,467,NA,NA
22045,14,183,NA,NA
22046,5,440,NA,NA
22047,161,7081,NA,NA
22050,1,25,NA,NA
22057,16,250.72000000000003,NA,NA
22061,2,28,NA,NA
22066,1,100,NA,NA
22075,3,63,NA,NA
22076,2,55,NA,NA
22078,20,660,NA,NA
22085,1,13.43,NA,NA
2209,1,20,NA,NA
22093,6,266,NA,NA
22104,2,220,NA,NA
22113,1,3,NA,NA
22114,13,13,NA,NA
22117,1,10,NA,NA
22122,21,920,NA,NA
22124,2,13,NA,NA
22133,22,177.86,NA,NA
22146,5,150,NA,NA
22150,1,10,NA,NA
22157,1,25,NA,NA
22192,1,10,NA,NA
22204,1,47,NA,NA
22205,2,29,NA,NA
22207,2,88.25999999999999,NA,NA
22208,4,125,NA,NA
22209,17,303.0399999999999,NA,NA
22213,3,12,NA,NA
22216,3,60,NA,NA
22218,1,50,NA,NA
22220,3,35,NA,NA
22228,4,69,NA,NA
22234,3,40,NA,NA
22237,1,5,NA,NA
22244,2,150,NA,NA
22286,1,25,NA,NA
22303,5,236.17,NA,NA
22304,3,60,NA,NA
22306,7,150.72,NA,NA
22307,2,3000,NA,NA
22310,9,95,NA,NA
22311,3,505,NA,NA
22314,3,62,NA,NA
22315,3,17,NA,NA
22324,1,500,NA,NA
22401,20,409,NA,NA
22402,15,455,NA,NA
22403,18,638,NA,NA
22407,2,7,NA,NA
22502,18,571,NA,NA
22550,5,20,NA,NA
22551,2,55,NA,NA
22554,2,29,NA,NA
22601,14,226,NA,NA
22602,2,29.64,NA,NA
22613,5,155,NA,NA
22617,21,179,NA,NA
22651,1,3,NA,NA
22654,2,1000,NA,NA
22658,13,130,NA,NA
22661,2,12,NA,NA
22663,5,35,NA,NA
22701,1,10,NA,NA
22702,7,435,NA,NA
22703,16,194,NA,NA
22704,6,118,NA,NA
22714,1,250,NA,NA
22738,8,193,NA,NA
22740,1,48.26,NA,NA
22745,1,15,NA,NA
22750,1,250,NA,NA
22769,9,163.5,NA,NA
22770,1,20,NA,NA
22771,82,1133.18,NA,NA
22774,2,75,NA,NA
22787,3,175,NA,NA
22791,4,60,NA,NA
22793,3,50,NA,NA
22801,5,275,NA,NA
22804,8,160,NA,NA
22807,2,1100,NA,NA
22811,10,500,NA,NA
22815,1,15,NA,NA
22817,7,17200,NA,NA
22842,1,20,NA,NA
22875,1,50,NA,NA
22910,33,12299,NA,NA
22913,13,457,NA,NA
22915,6,330,NA,NA
